1	1	1		170.352	152.394	0.155695	0.00200539
1	1	2		177.633	151.364	0.167559	0.00213342
1	1	3		168.513	151.505	0.156458	0.00195435
1	2	1		169.165	151.576	0.17378	0.00215467
1	2	2		169.126	152.184	0.183765	0.00212534
1	2	3		165.247	151.782	0.153746	0.00181717
1	3	1		163.057	153.638	0.214781	0.00259
1	3	2		162.554	153.795	0.167399	0.0020821
1	3	3		162.072	153.124	0.199373	0.00234021
1	4	1		166.202	152.483	0.162735	0.00201137
1	4	2		174.766	151.012	0.166928	0.00201852
1	4	3		163.205	150.279	0.151843	0.00190493
1	5	1		165.365	152.747	0.216035	0.00264264
1	5	2		168.775	153.867	0.165829	0.00202832
1	5	3		169.989	151.928	0.188293	0.00238966
1	6	1		0	0	0	0
1	6	2		0	0	0	0
1	6	3		0	0	0	0
2	1	1		177.848	153.759	0.168506	0.00207731
2	1	2		166.162	152.983	0.20689	0.00261723
2	1	3		181.364	153.278	0.21491	0.00252101
2	1	4		162.071	153.231	0.19476	0.0024013
2	1	5		177.918	151.937	0.19717	0.00234512
2	1	6		173.228	151.884	0.169122	0.00211126
2	1	7		179.67	154.087	0.166822	0.00197338
2	2	1		177.941	152.502	0.202332	0.0024079
2	2	2		179.197	151.227	0.188313	0.00242949
2	2	3		168.33	151.167	0.199838	0.00241389
2	2	4		169.15	153.252	0.180123	0.00233465
2	2	5		160.874	151.654	0.16727	0.00196893
2	2	6		171.93	151.575	0.176322	0.00208474
2	2	7		158.121	153.168	0.171347	0.00211014
2	3	1		187.355	154.048	0.200428	0.00243384
2	3	2		186.388	154.573	0.181564	0.00226808
2	3	3		169.386	152.831	0.175254	0.00220718
2	3	4		164.82	154.015	0.203167	0.00241058
2	3	5		178.729	152.556	0.193567	0.00229379
2	3	6		175.745	152.656	0.198051	0.00232565
2	3	7		162.557	153.654	0.17016	0.00219156
2	4	1		173.575	151.898	0.262638	0.0030465
2	4	2		174.639	152.518	0.168995	0.00207495
2	4	3		159.912	153.138	0.171071	0.0021603
2	4	4		161.521	152.521	0.171982	0.00208335
2	4	5		157.916	153.174	0.173102	0.00220292
2	4	6		161.103	150.964	0.000676847	1.74203e-05
2	4	7		162.861	151.73	0.175543	0.00206732
2	5	1		194.561	153.845	0.190135	0.0022141
2	5	2		172.192	154.566	0.203701	0.00261995
2	5	3		182.208	154.437	0.218086	0.00254725
2	5	4		177.022	155.128	0.214749	0.0024052
2	5	5		179.849	153.397	0.179379	0.00230985
2	5	6		191.608	152.848	0.20913	0.0026118
2	5	7		181.819	151.356	0.184801	0.002154
2	6	1		0	0	0	0
2	6	2		0	0	0	0
2	6	3		0	0	0	0
2	6	4		0	0	0	0
2	6	5		0	0	0	0
2	6	6		0	0	0	0
2	6	7		0	0	0	0
3	1	1		159.748	164.741	0.150354	0.00182912
3	1	2		149.392	161.934	0.129542	0.00161774
3	1	3		165.315	161.991	0.127844	0.00165292
3	1	4		153.237	163.994	0.139059	0.00184243
3	1	5		134.128	154.042	0.143863	0.00191087
3	1	6		162.587	163.432	0.106741	0.00143018
3	2	1		134.974	156.888	0.114258	0.00149144
3	2	2		158.589	162.426	0.146105	0.00176509
3	2	3		155.89	160.773	0.138333	0.00179309
3	2	4		125.356	157.919	0.130619	0.0017814
3	2	5		150.422	160.873	0.135223	0.0016811
3	2	6		175.172	162.207	0.140302	0.00173615
3	3	1		142.881	161.027	0.140969	0.00174895
3	3	2		151.167	161.077	0.140322	0.0017894
3	3	3		136.31	156.241	0.139233	0.00167863
3	3	4		160.409	160.844	0.183265	0.00223605
3	3	5		121.64	156.587	0.12766	0.00159807
3	3	6		152.949	160.579	0.117675	0.00154267
3	4	1		120.48	156.225	0.126622	0.00157537
3	4	2		163.826	159.32	0.160029	0.00193083
3	4	3		135.18	156.208	0.134795	0.00170019
3	4	4		122.169	155.713	0.117364	0.00153235
3	4	5		131.252	153.609	0.137541	0.00171399
3	4	6		140.365	155.151	0.153923	0.00195509
3	5	1		156.85	142.805	0.10567	0.00132669
3	5	2		155.191	142.508	0.118945	0.00143797
3	5	3		165.333	144.175	0.106457	0.00131032
3	5	4		165.275	144.332	0.113517	0.0013686
3	5	5		169.381	142.379	0.138624	0.00168833
3	6	1		0	0	0	0
3	6	2		0	0	0	0
3	6	3		0	0	0	0
3	6	4		0	0	0	0
3	6	5		0	0	0	0
3	6	6		0	0	0	0
4	1	1		158.621	159.498	0.119724	0.00155325
4	1	2		163.052	164.03	0.12694	0.00154881
4	1	3		177.913	167.107	0.115823	0.0013625
4	1	4		142.057	156.1	0.13321	0.00166628
4	1	5		128.115	154.795	0.141609	0.00176911
4	1	6		180.641	165.847	0.190938	0.00213615
4	2	1		150.84	157.036	0.161997	0.00207285
4	2	2		165.928	162.734	0.137493	0.00169555
4	2	3		135.289	156.28	0.117187	0.00150529
4	2	4		164.413	163.411	0.13701	0.00180138
4	2	5		163.58	160.056	0.12275	0.00153531
4	2	6		172.061	163.169	0.1446	0.00182622
4	3	1		159.079	161.567	0.12822	0.00160944
4	3	2		128.445	158.132	0.145073	0.00190822
4	3	3		146.909	159.087	0.119346	0.00145722
4	3	4		155.892	158.897	0.136553	0.00162741
4	3	5		171.11	162.642	0.128273	0.00158805
4	3	6		159.668	158.565	0.112721	0.00141334
4	4	1		163.168	161.961	0.145158	0.00190527
4	4	2		161.183	159.923	0.125641	0.00167511
4	4	3		143.896	160.43	0.119675	0.00154149
4	4	4		144.467	160.438	0.126481	0.00161693
4	4	5		150.963	159.221	0.131757	0.00166712
4	4	6		136.048	157.405	0.114003	0.0014772
